Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
2,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
3,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
4,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
5,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
6,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
7,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
8,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
9,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
10,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
11,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
12,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
13,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
14,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
15,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
16,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
17,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
18,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
19,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
20,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
21,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
22,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
23,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
24,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
25,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
26,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
27,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
28,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
29,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
30,300.8400331162782,4.827323554830984,12460.722192357107,32,0.14285714285714285,0.0
Average,300.8400331162782,4.827323554830985,12460.72219235711,32.0,0.14285714285714285,0.0
