Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
2,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
3,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
4,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
5,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
6,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
7,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
8,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
9,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
10,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
11,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
12,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
13,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
14,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
15,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
16,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
17,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
18,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
19,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
20,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
21,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
22,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
23,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
24,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
25,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
26,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
27,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
28,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
29,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
30,42796.44599528634,39.44597012836327,147646.02342727856,0,0.0,0.0
Average,42796.44599528634,39.44597012836328,147646.0234272786,0.0,0.0,0.0
