Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
2,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
3,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
4,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
5,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
6,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
7,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
8,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
9,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
10,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
11,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
12,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
13,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
14,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
15,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
16,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
17,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
18,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
19,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
20,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
21,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
22,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
23,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
24,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
25,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
26,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
27,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
28,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
29,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
30,298.9309487238973,3.8301160337595954,12375.56058053371,36,0.0,0.0
Average,298.93094872389725,3.8301160337595954,12375.560580533707,36.0,0.0,0.0
