Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
2,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
3,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
4,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
5,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
6,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
7,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
8,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
9,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
10,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
11,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
12,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
13,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
14,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
15,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
16,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
17,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
18,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
19,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
20,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
21,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
22,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
23,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
24,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
25,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
26,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
27,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
28,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
29,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
30,299.22472626385354,5.246983531881311,12386.246890552073,38,0.0,0.0
Average,299.2247262638536,5.246983531881311,12386.246890552069,38.0,0.0,0.0
