Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
2,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
3,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
4,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
5,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
6,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
7,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
8,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
9,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
10,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
11,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
12,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
13,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
14,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
15,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
16,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
17,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
18,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
19,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
20,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
21,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
22,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
23,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
24,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
25,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
26,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
27,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
28,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
29,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
30,5425449.708752687,1054.6410839268333,83.75906489765262,5,0.0,0.0
Average,5425449.708752688,1054.641083926833,83.7590648976526,5.0,0.0,0.0
