Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
2,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
3,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
4,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
5,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
6,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
7,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
8,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
9,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
10,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
11,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
12,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
13,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
14,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
15,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
16,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
17,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
18,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
19,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
20,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
21,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
22,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
23,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
24,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
25,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
26,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
27,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
28,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
29,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
30,4980434.675234878,2320.0775516164426,396.59144779939834,0,0.0,0.0
Average,4980434.675234879,2320.0775516164426,396.59144779939817,0.0,0.0,0.0
